MbdID,INDEX,MbdName,MBD Type,Target
20126364,CERVEZAS,NEW_TOTAL COLOMBIA_75,TOTAL COUNTRY,0.04
20126285,CERVEZAS,NEW_TOTAL COLOMBIA ANTIG DEF_75,MAJOR,0.1
20083535,CERVEZAS,TOTAL COLOMBIA,MAJOR,0.1
20083663,CERVEZAS,TOTAL COLOMBIA ANTIG DEF,MAJOR,0.1
20201389,CERVEZAS,TOTAL 14 MERCADOS DEPARTAMENTOS_CERV,MAJOR,0.1
20126315,CERVEZAS,NEW_TOTAL COLOMBIA METROPOLITANA_75,MAJOR,0.1
20201420,CERVEZAS,TOTAL 10 CIUDADES METRO_CERV_SCAN,MAJOR,0.1
20083715,CERVEZAS,TRADICIONALES + CONS LOCAL COLOMBIA,MAJOR,0.1
20083407,CERVEZAS,TOTAL COLOMBIA METROPOLITANA,MAJOR,0.1
20126360,CERVEZAS,NEW_AUTOSERVICIOS COLOMBIA_75,MAJOR,0.1
20126398,CERVEZAS,NEW_AUTOSERVICIOS COLOMBIA ANTIG DEF_75,MAJOR,0.1
20083207,CERVEZAS,AUTOSERVICIOS COLOMBIA,MAJOR,0.1
20083602,CERVEZAS,AUTOSERVICIOS COLOMBIA ANTIG DEF,MAJOR,0.1
20083412,CERVEZAS,CONSUMO LOCAL COLOMBIA,MAJOR,0.1
20083603,CERVEZAS,CONSUMO LOCAL COLOMBIA ANTIG DEF,MAJOR,0.1
20126323,CERVEZAS,NEW_TOTAL CUNDI_BOY_75,MAJOR,0.1
20126395,CERVEZAS,NEW_TOTAL ATLANTICO_75,MAJOR,0.1
20083409,CERVEZAS,TOTAL CUNDI_BOY,MAJOR,0.1
20126375,CERVEZAS,NEW_TOTAL CUNDINAMARCA ANTIG DEF_75,MAJOR,0.1
20083327,CERVEZAS,TRADICIONALES + LICORERIAS COLOMBIA,MAJOR,0.1
20083479,CERVEZAS,TOTAL ATLANTICO,MAJOR,0.1
20083607,CERVEZAS,TRADICIONALES + LICORERIAS COLOMBIA ANTIG DEF,MAJOR,0.1
20083417,CERVEZAS,TOTAL CUNDINAMARCA ANTIG DEF,MAJOR,0.1
20126379,CERVEZAS,NEW_TOTAL BOGOTA METRO_75,MAJOR,0.1
20083334,CERVEZAS,TOTAL COLOMBIA TRADICIONAL,MAJOR,0.1
20083608,CERVEZAS,TOTAL BOGOTA METRO,MAJOR,0.1
20126402,CERVEZAS,NEW_TOTAL BOGOTA_75,MAJOR,0.1
20083678,CERVEZAS,TOTAL  BOGOTA,MAJOR,0.1
